CM000433	
CP015578	
AE006468	
NC_002737	AE004092.2
CP000880	
CP035685	
CP046792	
CP006833	
CP035691	
CP001001	
CP006252	
CP006731	
CP031367	
CP032097	
NC_001264	AE001825.1
CP024282	
CP035692	
CP014204	
LN877953	
NC_008570	CP000462.1
AF008237	
CP014176	
CP012264	
CP054041	
LN877950	
NC_000853	AE000512.1
L42023	
CP013239	
AE000511	
CP046817	
NC_004567	AL935263.2
NC_004342	AE010300.2
NC_015224	CP002246.1
NC_011916	CP001340.1
CP000942	
CP046818	
CP032098	
NC_002677	AL450380.1
CP039381	
CP031219	
CP027582	
CM000435	
CP053406	
NC_002516	AE004091.2
NC_001318	AE000783.1
CP035693	
NC_008596	CP000480.1
CP000724	
CP009781	
NC_004116	AE009948.1
NC_006570	AJ749949.2
CP054048	
NC_003047	AL591688.1
NC_019382	HE965806.1
CP038178	
NC_004463	BA000040.2
LN877954	
NC_014644	CP002104.1
CU468230	
CP054044	
CP000968	
CP000951	
NC_010175	CP000909.1
CP032482	
NC_013522	CP001818.1
CP000896	
CP004345	
NC_002946	AE004969.1
NC_004663	AE015928.1
NC_002967	AE017226.1
CP011047	
CP012268	
NC_014923	CP002447.1
NC_035963	MF034192.1
CP015575	
CP000140	
CP035690	
CP051126	
CP031218	
CP000806	
CP046833	
NC_006347	AP006841.1
LT906444	
CP012257	
NC_016118	JF920286.1
NZ_CP020478	CP020478.1
LN877952	
CP054715	
CP001628	
FR687253	
NC_000117	AE001273.1
NC_004347	AE014299.2
CP009787	
NC_009009	CP000387.1
CP000884	
CP020867	
CP001560	
CP000961	
KR006340	
NC_005042	AE017126.1
NC_006055	AE017263.1
CP031217	
CP000758	
CP000777	
NC_000962	AL123456.3
CM000436	
NC_086845	
NC_011581	
CP054042	
CP000941	
CP000947	
CP043857	
NC_000922	AE001363.1
NC_008800	AM286415.1
CP046827	
MG770607	
CP000924	
LT615228	
CP000524	
CP007557	
CP012541	
CP032100	
CP000932	
NC_003063	AE007870.2
CP012370	
CP035697	
NC_002163	AL111168.1
NZ_CP032487	CP032487.1
CP012266	
NC_009613	AM398681.2
NC_006461	AP008226.1
CP003063	
NC_011296	CP001147.1
CP046828	
NC_005957	AE017355.1
FJ236999	
CP035926	
CP014070	
CP046803	
NC_004668	AE016830.1
LN877951	
CP053579	
NC_003030	AE001437.1
NC_014318	CP002000.1
CP001013	
NC_002528	BA000003.2
CP000759	
CP035699	
NC_017960	CP003583.1
CM000429	
AM849034	
DQ489736	
NC_002932	AE006470.1
MK820672	
CP007770	
NC_012920	J01415.2
AP013070	
CP053581	
NC_010516	CP000939.1
NC_010397	CU458896.1
CP063138	
CP046751	
CP046752	
CP042945	
CP022347	
FR877557	
CP009712	
LN877949	
NC_016845	CP003200.1
LN877948	
CP042941	
NC_005364	BX293980.2
NC_000963	AJ235269.1
NZ_CP043727	CP043727.1
NC_002662	AE005176.1
NC_006841	CP000021.2
NC_014638	CP001840.1
CP000930	
NC_002942	AE017354.1
NC_005027	BX119912.1
CP012195	
NC_004461	AE015929.1
NC_002939	AE017180.2
NC_004307	AE014295.3
NC_006350	BX571965.1
CP001014	
CP007766	
CP015575	
KC153975	
NC_012587	CP001389.1
CP000943	
LN877947	
NC_003902	AE008922.1
CM000430	
NC_000918	AE000657.1
NC_001263	AE000513.1
CP007772	
AB101291	
NC_003450	BA000036.3
KC189947	
NC_003112	AE002098.2
CP054040	
CP046791	
NC_004350	AE014133.2
CP038179	
NC_000912	U00089.2
NC_004578	AE016853.1
CU633749	
CP053583	
NC_014121	CP001918.1
AP006810	
CP053582	
NC_000964	AL009126.3
NC_010723	CP001078.1
LR134141	
NZ_CP009554	CP009554.1
LR134483	
CM000432	
NC_007929	CP000233.1
CP007774	
NC_007493	CP000143.2
CP001875	
CP035698	
NC_007677	CP000159.1
AP007209	
NC_006840	CP000020.2
NC_004113	BA000039.2
NC_015663	CP002824.1
CP091095	
FN557490	
CP035684	
NC_007494	CP000144.2
CP000807	
NC_016603	CP002177.1
CP000817	
NC_008526	CP000423.1
AM774415	
CP001643	
CU633750	
CP046797	
NC_009089	AM180355.1
CP053318	
MT233526	
NC_011661	CP001251.1
CM000431	
CP028101	
NC_009636	CP000738.1
CP054039	
CP045743	
CP035682	
CP035683	
CP054043	
CP009801	
CP032099	
NC_002971	AE016828.3
NC_007643	CP000230.1
AM942444	
CP035700	
CP053411	
CP023962	
CP046798	
NC_006351	BX571966.1
NC_006814	CP000033.3
CM001047	
FN543093	
NC_022000	CP004022.1
CP000936	
CP054049	
CP028341	
HQ857211	
CP000931	
CP051127	
CM000434	
AP008971	
CP019683	
NC_002937	AE017285.1
CP012196	
CP046832	
FR751399	
CP046804	
NC_017384	CP002018.1
NC_003062	AE007869.2
NC_012926	FM252032.1
NC_005125	BA000045.2
CP028187	
NC_008262	CP000312.1
CP000860	
NC_013853	FN568063.1
