species (conventional)	speciesICTV	species_id	genus	genus_id	assemblyAcc	ICTV VMR identifier
Betapolyomavirus hominis	Betapolyomavirus hominis	1891762	Betapolyomavirus	1891714	GCF_000837865.1	VMR1006916
Roseolovirus humanbeta6b	Roseolovirus humanbeta6b	3050297	Roseolovirus	40272	GCF_000846365.1	VMR1000119
Simplexvirus humanalpha1	Simplexvirus humanalpha1	3050292	Simplexvirus	10294	GCF_000859985.2	VMR1000063
Varicellovirus felidalpha1	Varicellovirus felidalpha1	3050284	Varicellovirus	10319	GCF_000885455.1	VMR1000092
Human immunodeficiency virus 1	Lentivirus humimdef1	3418650	Lentivirus	11646	GCF_000864765.1	VMR1004107
Lyssavirus rabies	Lyssavirus rabies	11292	Lyssavirus	11286	GCF_000859625.1	VMR1010798
Rotavirus A	Rotavirus alphagastroenteritidis	3432193	Rotavirus	10912	GCF_000880735.1	VMR1008449
Rotavirus B	Rotavirus betagastroenteritidis	3432195	Rotavirus	10912	GCF_000907835.1	VMR1008450
Rotavirus C	Rotavirus tritogastroenteritidis	3432203	Rotavirus	10912	GCF_000864225.1	VMR1008451
Nelson Bay orthoreovirus	Orthoreovirus nelsonense	3431496	Orthoreovirus	10882	GCF_002829605.1	VMR1008512
Venezuelan equine encephalitis virus	Alphavirus venezuelan	3426322	Alphavirus	11019	GCF_002889695.1	VMR1008723
Rubivirus rubellae	Rubivirus rubellae	2846071	Rubivirus	11040	GCF_024749945.1	VMR1008550

