scientificName	nuccoreAcc	taxid	parent	source
Seadornavirus_bannaense	AF134514.1	3240447	208294	ICTV
Seadornavirus_bannaense	AF133430.1	3240447	208294	ICTV
Metapneumovirus_hominis	AF371337.2	3048148	162387	ICTV
Orthopneumovirus_hominis	M74568.1	3049954	1868215	ICTV
Betapolyomavirus_hominis	V01108.1	1891762	1891714	ICTV
Roseolovirus_humanbeta6b	AF157706.1	3050297	40272	ICTV
Simplexvirus_humanalpha1	JN555585.1	3050292	10294	ICTV
Varicellovirus_felidalpha1	FJ478159.2	3050284	10319	ICTV
Lentivirus_humimdef1	AF033819.3	3418650	11646	ICTV
Lyssavirus_rabies	M13215.1	11292	11286	ICTV
Rotavirus_alphagastroenteritidis	DQ841262.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838650.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838645.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838640.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838635.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838630.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838625.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838620.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838615.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838610.2	3432193	10912	ICTV
Rotavirus_alphagastroenteritidis	DQ838599.2	3432193	10912	ICTV
Rotavirus_betagastroenteritidis	AY238394.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238393.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238392.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238391.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238390.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238389.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238388.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238385.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	AY238384.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	EU490418.1	3432195	10912	ICTV
Rotavirus_betagastroenteritidis	EU490415.1	3432195	10912	ICTV
Rotavirus_tritogastroenteritidis	M81488.2	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	X59843.2	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	AJ132205.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	AJ132203.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	X83967.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	AJ132204.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	AJ304859.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	AJ303139.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	X96697.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	X79442.1	3432203	10912	ICTV
Rotavirus_tritogastroenteritidis	X77257.1	3432203	10912	ICTV
Orthoreovirus_nelsonense	JF342671.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	JF342670.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	JF342669.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	JF342668.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	JF342667.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	JF342666.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	AY357733.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	AY357732.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	AY357731.1	3431496	10882	ICTV
Orthoreovirus_nelsonense	AY357730.1	3431496	10882	ICTV
Alphavirus_venezuelan	L01442.2	3426322	11019	ICTV
Rubivirus_rubellae	JN635296.1	2846071	11040	ICTV
