scientificName	nuccoreAcc	taxid
Staphylococcus	NC_005566	1279
Staphylococcus	CP042087	1279
Staphylococcus aureus	CP042091	1280
Staphylococcus hyicus	JF968541	1284
Staphylococcus sciuri	CP041885	1296
Staphylococcus warneri	CP003671	1292
Staphylococcus warneri	CP003675	1292
Staphylococcus epidermidis	HG813245	1282
Staphylococcus aureus	AY373761	1280
Staphylococcus cohnii	CP027421	29382
Staphylococcus saprophyticus	CP022055	29385
Staphylococcus saprophyticus	CP022094	29385
Staphylococcus epidermidis	GQ900452	1282
Staphylococcus haemolyticus	CP035292	1283
Staphylococcus sp. AntiMn-1	CP013300	1715860
Streptomyces albulus	AB058947	68570
Klebsiella pneumoniae	CP034763	573
Enterobacteriaceae	CP028785	543
Escherichia coli	CP010162	562
Klebsiella	CP024569	570
Klebsiella pneumoniae	EU932690	573
Klebsiella oxytoca	CP018358	571
Enterobacter sp. FY-07	CP012489	1692238
Klebsiella pneumoniae	CP041096	573
Klebsiella sp. PO552	CP037447	1972757
Enterobacteriaceae	CP026215	543
Enterobacteriaceae	CP010165	543
Klebsiella pneumoniae	CP028803	573
Enterobacter	CP041057	547
Klebsiella pneumoniae	CP023915	573
Raoultella ornithinolytica	CP012558	54291
Klebsiella pneumoniae	CP036325	573
Klebsiella pneumoniae	AF156893	573
Klebsiella pneumoniae	CP031819	573
Klebsiella quasipneumoniae	CP034135	1463165
Enterobacteriaceae	CP026183	543
Enterobacteriaceae	CP024513	543
Klebsiella pneumoniae	CP003227	573
Klebsiella pneumoniae	CP011643	573
Klebsiella pneumoniae	CP042487	573
Klebsiella pneumoniae	CP000652	573
Klebsiella pneumoniae	CP015397	573
Klebsiella pneumoniae	CP024196	573
Klebsiella pneumoniae	CP044041	573
Klebsiella pneumoniae	CP018446	573
Enterobacteriaceae	CP036332	543
Enterobacteriaceae	CP023869	543
Klebsiella pneumoniae	CP024044	573
Klebsiella pneumoniae	CP021700	573
Enterobacteriaceae	CP035127	543
Klebsiella	CP031797	570
Klebsiella pneumoniae	CP011619	573
Klebsiella pneumoniae	CP023940	573
Klebsiella aerogenes	CP044216	548
Klebsiella pneumoniae	CP023908	573
Klebsiella pneumoniae	CP031375	573
Klebsiella pneumoniae	CP024485	573
Klebsiella pneumoniae	CP023945	573
Klebsiella pneumoniae	CP000651	573
Klebsiella pneumoniae	CP024580	573
Klebsiella	AP014955	570
Klebsiella pneumoniae	CP018665	573
Klebsiella pneumoniae	CP031816	573
Klebsiella pneumoniae	CP011315	573
Providencia stuartii	CP008919	588
Providencia rettgeri	CP017672	587
Borrelia miyamotoi	CP044645	47466
Borrelia miyamotoi	CP036583	47466
Borrelia miyamotoi	CP044651	47466
Borrelia miyamotoi	CP037244	47466
Borrelia miyamotoi	CP037234	47466
Borrelia miyamotoi	CP044827	47466
Borrelia miyamotoi	CP037260	47466
Borrelia miyamotoi	CP037242	47466
Borrelia miyamotoi	CP044811	47466
Borrelia miyamotoi	CP037485	47466
Escherichia coli	CP023830	562
Escherichia coli	CP003112	562
Escherichia coli	CP016039	562
Escherichia coli	CP003114	562
Escherichia coli	CP000801	562
Escherichia coli	EU580135	562
Escherichia coli	FN649415	562
Escherichia coli	CP042634	562
Escherichia coli	CP010224	562
Enterobacteriaceae	CP018108	543
Enterobacteriaceae	CP006787	543
Enterobacteriaceae	CP032499	543
Escherichia coli	CP002187	562
Enterobacteriaceae	AP009244	543
Salmonella enterica	GU949535	28901
Enterobacteriaceae	JX566769	543
Enterobacteriaceae	CP017722	543
Shigella boydii	HQ404303	621
Shigella flexneri	CP001387	623
Shigella flexneri	CP034063	623
Shigella boydii	CP001061	621
Escherichia coli	CP031924	562
Escherichia coli	CP041342	562
Enterobacteriaceae	CP001148	543
Escherichia coli	AF251289	562
Escherichia coli	KC853436	562
Escherichia coli	CP027259	562
Escherichia coli	CP025843	562
Escherichia coli	KC853438	562
Escherichia coli	LT985282	562
Escherichia coli	AY929248	562
Enterobacteriaceae	KM085452	543
Enterobacteriaceae	CP045786	543
Enterobacteriaceae	CP011433	543
Enterobacteriaceae	CP012934	543
Arthrobacter sp. FB24	CP000457	290399
Arthrobacter sp. FB24	CP000455	290399
Arthrobacter sp. Rue61a	CP003204	1118963
Paenarthrobacter aurescens	CP000476	43663
Escherichia coli	CP010120	562
Escherichia coli	CP043735	562
