scientificName	nuccoreAcc	taxid	parent	source
Coxiella_burnetii	AE016828	777	776	NCBI-REF
Cronobacter_condimenti	CP012264	1163710	413496	NCBI-REF
Cronobacter_dublinensis_dublinensis	CP012266	413498	413497	NCBI-REF
Cronobacter_malonaticus	CP006731	413503	413496	NCBI-REF
Cronobacter_muytjensii	CP012268	413501	413496	NCBI-REF
Cronobacter_sakazakii	CP011047	28141	413496	NCBI-REF
Cronobacter_turicensis	FN543093	413502	413496	NCBI-REF
Cronobacter_universalis	CP012257	535744	413496	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003820	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003821	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003822	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003823	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003824	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003825	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003826	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003827	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003828	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003829	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003830	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003831	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003832	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003833	5207	1897064	NCBI-REF
Cryptococcus_neoformans_var_grubii	CP003834	5207	1897064	NCBI-REF
Cryptosporidium_hominis	LN877947	237895	5806	CDC SME
Cryptosporidium_hominis	LN877948	237895	5806	CDC SME
Cryptosporidium_hominis	LN877949	237895	5806	CDC SME
Cryptosporidium_hominis	LN877950	237895	5806	CDC SME
Cryptosporidium_hominis	LN877951	237895	5806	CDC SME
Cryptosporidium_hominis	LN877952	237895	5806	CDC SME
Cryptosporidium_hominis	LN877953	237895	5806	CDC SME
Cryptosporidium_hominis	LN877954	237895	5806	CDC SME
Cryptosporidium_parvum	CM000429	5807	5806	CDC SME
Cryptosporidium_parvum	CM000430	5807	5806	CDC SME
Cryptosporidium_parvum	CM000431	5807	5806	CDC SME
Cryptosporidium_parvum	CM000432	5807	5806	CDC SME
Cryptosporidium_parvum	CM000433	5807	5806	CDC SME
Cryptosporidium_parvum	CM000434	5807	5806	CDC SME
Cryptosporidium_parvum	CM000435	5807	5806	CDC SME
Cryptosporidium_parvum	CM000436	5807	5806	CDC SME
Cupriavidus_taiwanensis	CU633749	164546	106589	NCBI-REF
Cupriavidus_taiwanensis	CU633750	164546	106589	NCBI-REF
Cyanothece	CP000806	43989	2546360	NCBI-REF
Cyanothece	CP000807	43989	2546360	NCBI-REF
Deinococcus_radiodurans	AE000513	1299	1298	NCBI-REF
Deinococcus_radiodurans	AE001825	1299	1298	NCBI-REF
Delftia_acidovorans	CP000884	80866	80865	NCBI-REF
Dengue_virus_1	AF311956	11053	12637	NCBI-REF
Dengue_virus_2	AF038403	11060	12637	NCBI-REF
Dengue_virus_3	M93130	11069	12637	NCBI-REF
Dengue_virus_4	AF326825	11070	12637	NCBI-REF
Dictyoglomus_turgidum	CP001251	513050	13	NCBI-REF
Dolosigranulum_pigrum	CP040424	29394	29393	NCBI-REF
Enterobacter_cloacae	CP001918	550	354276	NCBI-REF
Enterococcus_faecalis	AE016830	1351	1350	NCBI-REF
Enterococcus_faecium	CP003583	1352	1350	NCBI-REF
Escherichia_albertii	CP024282	208962	561	CDC SME
Escherichia_coli	CP027582	562	561	CDC SME
Escherichia_fergusonii	CP042945	564	561	CDC SME
Exiguobacterium_antarcticum	CP003063	132920	33986	NCBI-REF
Finegoldia_magna	AP008971	1260	150022	NCBI-REF
Flavobacterium_psychrophilum	AM398681	96345	237	NCBI-REF
Francisella_philomiragia	CP063138	28110	262	NCBI-REF
Francisella_tularensis	AJ749949	263	262	NCBI-REF
